xR,xEGF,xRa,xR2,xRP,xPLCg,xRPL,xRPLP,xPLCgP,xGrb,xRG,xSOS,xRGS,xGS,xShc,xRSh,xRShP,xShP,xRShG,xShG,xRShGS,xShGS,xPLCgPl
-0.49667725,-0.49667698,-13.233145,-17.094585,-1.0294813,3.9949834,21.098698,19.291931,2.2806003,3.7524471,-2.97436,0.650247,-0.9328736,-0.17446011,0.12035845,-0.034136165,-0.037829146,-0.45205247,-0.02701443,-0.10082063,-0.011349296,0.46880186,-46.742905
-0.47355974,-0.4735595,-13.248908,-16.961138,-0.97419107,4.028829,20.858618,19.432293,2.29023,3.7344282,-2.981272,0.633583,-0.92938864,-0.16954482,0.1254451,-0.043130763,-0.045878097,-0.4509021,-0.036672708,-0.082893685,-0.012846742,0.4785741,-46.688385
-0.46047837,-0.46047813,-13.258316,-16.717703,-1.1232594,4.065853,20.619484,19.579483,2.2831368,3.726327,-2.9804945,0.6057117,-0.9251336,-0.21063793,0.116416186,-0.039134488,-0.056328192,-0.47445235,-0.015160117,-0.12494739,-0.013652401,0.544085,-46.626892
-0.47217643,-0.47217616,-13.106422,-16.583412,-1.0607886,4.09956,20.39405,19.710936,2.3001301,3.6816201,-2.977645,0.6159874,-0.93066907,-0.1902169,0.12025414,-0.033931065,-0.05608169,-0.50528604,-0.010657189,-0.0773451,-0.013834316,0.5190903,-46.584816
-0.4728828,-0.47288257,-13.022936,-16.488113,-1.1082041,4.131613,20.165546,19.845783,2.3567834,3.6577606,-2.9688842,0.59559226,-0.9223728,-0.19898933,0.11974347,-0.026328383,-0.07509807,-0.5121131,-0.011675958,-0.0815962,-0.0113095315,0.5374143,-46.579468
-0.4803328,-0.48033255,-12.945757,-16.420444,-1.1174462,4.160848,19.945286,19.975204,2.3915732,3.6423776,-2.9675498,0.5685284,-0.919452,-0.1670872,0.12223357,-0.042819776,-0.06916844,-0.4778338,-0.0069786534,-0.099348664,-0.010078486,0.5284161,-46.55394
-0.49490374,-0.4949035,-12.84947,-16.284943,-1.120289,4.1921873,19.723501,20.105007,2.4165778,3.623467,-2.9722545,0.5571294,-0.91576743,-0.15710285,0.122524455,-0.04031018,-0.064627536,-0.48872718,-0.015800022,-0.07839197,-0.010088393,0.52615523,-46.51645
-0.49616677,-0.49616653,-12.81118,-16.025517,-1.1769152,4.224426,19.502232,20.23869,2.4146237,3.6276727,-2.9645662,0.5541612,-0.923159,-0.12510887,0.124753445,-0.04045119,-0.059440754,-0.46439332,-0.02013513,-0.08898289,-0.016475732,0.5109024,-46.457268
-0.5076673,-0.50766706,-12.730009,-15.849953,-1.2055525,4.2560234,19.282421,20.364582,2.4373193,3.6511517,-2.958197,0.59524375,-0.9218339,-0.15468314,0.11984225,-0.02150938,-0.07016966,-0.46507654,-0.023754999,-0.07415308,-0.0170811,0.49866384,-46.41754
-0.5106201,-0.5106199,-12.754124,-15.616772,-1.1340401,4.28469,19.072239,20.484259,2.4744353,3.6585488,-2.9637036,0.5700946,-0.9198967,-0.14034857,0.11400126,-0.029226184,-0.060886487,-0.44269562,-0.019146282,-0.10580896,-0.018679667,0.5091316,-46.394806
-0.50924104,-0.5092408,-12.770549,-15.464091,-1.1762872,4.3141737,18.855272,20.602024,2.5115952,3.630907,-2.9692726,0.5595702,-0.9132623,-0.08508426,0.104576275,-0.015752118,-0.075914636,-0.40607196,-0.0121768415,-0.09007746,-0.015641874,0.4547151,-46.36357
-0.5094281,-0.50942785,-12.76831,-15.263933,-1.2305012,4.339365,18.652527,20.722652,2.5300674,3.5876546,-2.9686341,0.5772222,-0.91458297,-0.075557075,0.10591478,-0.012933729,-0.07160913,-0.45234552,-0.016502267,-0.025457047,-0.016032752,0.42924392,-46.32511
-0.48583233,-0.4858321,-12.799774,-15.067166,-1.344152,4.3681192,18.445269,20.848778,2.5139563,3.5428276,-2.9658642,0.5688289,-0.91807675,-0.07886314,0.10432785,-0.012328787,-0.07554437,-0.48716623,-0.023113322,0.014900142,-0.01035444,0.43875486,-46.2584
-0.4822834,-0.48228315,-12.784115,-14.95192,-1.3156338,4.393417,18.248402,20.960382,2.524274,3.4920526,-2.9619746,0.5507002,-0.91553223,-0.062054694,0.10886122,-0.010562697,-0.069214836,-0.5240455,-0.023322271,0.043940555,-0.009461604,0.43663836,-46.209023
-0.49440885,-0.4944086,-12.723993,-14.911563,-1.2263874,4.420806,18.047459,21.075718,2.5508947,3.4495234,-2.9659393,0.5360604,-0.9175608,-0.06272527,0.1035281,-0.0040190914,-0.073872276,-0.56974345,-0.013908237,0.06643673,-0.004327801,0.44884425,-46.17942
-0.4765364,-0.47653615,-12.700518,-14.821257,-1.065623,4.446295,17.85384,21.1792,2.5684571,3.4619765,-2.9593482,0.5527213,-0.92234015,-0.06772212,0.108926594,-0.0351805,-0.06801226,-0.5434697,-0.020764899,0.07093301,-0.0029582498,0.440575,-46.133194
-0.49905905,-0.4990588,-12.54262,-14.792713,-1.0654951,4.4719753,17.659668,21.281965,2.5781307,3.444871,-2.9536047,0.5702651,-0.9282014,-0.07226717,0.10644257,-0.01871175,-0.0854522,-0.56343675,-0.012829328,0.09186684,-0.005456093,0.43591505,-46.079895
-0.48878685,-0.48878658,-12.515589,-14.594259,-1.0730782,4.499679,17.466404,21.383915,2.6073833,3.401945,-2.9359074,0.5733564,-0.92999446,-0.07345124,0.1175693,-0.032547414,-0.08127327,-0.593222,-0.007608243,0.11497106,-0.007489104,0.43785644,-46.046646
-0.49629676,-0.4962965,-12.431393,-14.5566025,-0.95539033,4.524745,17.275265,21.484585,2.6579757,3.3566537,-2.9342728,0.58406293,-0.9283725,-0.110582545,0.12555987,-0.038977835,-0.081966326,-0.66973865,-0.0020189984,0.16372252,-0.01196936,0.46715838,-46.03194
-0.48855332,-0.4885531,-12.392813,-14.412714,-0.922334,4.550456,17.087463,21.581299,2.664881,3.3477278,-2.9388313,0.57731456,-0.92702055,-0.04868037,0.12322975,-0.039832093,-0.088699505,-0.60675746,0.013513435,0.15495127,-0.017876854,0.41656935,-45.97048
-0.4729812,-0.47298098,-12.325587,-14.303852,-0.9792838,4.574297,16.902046,21.677866,2.7128212,3.3584049,-2.9365716,0.5738709,-0.9246428,-0.07012553,0.117529586,-0.039345946,-0.08924331,-0.6149862,0.012927283,0.13916698,-0.017171506,0.43838894,-45.95059
-0.49463677,-0.49463654,-12.215956,-14.256996,-0.9164674,4.5964,16.723515,21.767803,2.763413,3.3374164,-2.930204,0.5874555,-0.925433,-0.04742728,0.1197297,-0.038941026,-0.082745604,-0.6174481,0.009523898,0.17075077,-0.010961989,0.3966971,-45.93643
-0.49705094,-0.4970507,-12.174534,-14.181455,-0.73986864,4.6202297,16.547367,21.86341,2.7801752,3.332276,-2.922843,0.5859176,-0.928166,-0.04813095,0.11199309,-0.030306563,-0.08691366,-0.61331654,0.011201947,0.1652906,-0.012877739,0.40358204,-45.895813
